iter	Passed	Remaining
0	2593	2591378
1	2600	1297597
2	2602	864864
3	2604	648415
4	2605	518532
5	2607	431963
6	2609	370187
7	2612	323899
8	2615	287975
9	2617	259169
10	2620	235580
11	2622	215894
12	2623	199212
13	2626	184968
14	2628	172604
15	2630	161777
16	2632	152237
17	2634	143743
18	2636	136134
19	2639	129320
20	2641	123134
21	2643	117517
22	2645	112374
23	2647	107669
24	2649	103334
25	2651	99320
26	2652	95606
27	2655	92179
28	2657	88964
29	2659	85977
30	2660	83176
31	2663	80559
32	2664	78087
33	2666	75768
34	2668	73576
35	2670	71518
36	2672	69563
37	2674	67708
38	2676	65956
39	2678	64286
40	2680	62703
41	2682	61191
42	2684	59753
43	2687	58382
44	2689	57072
45	2691	55818
46	2693	54606
47	2695	53454
48	2697	52351
49	2699	51291
50	2701	50272
51	2703	49293
52	2706	48351
53	2708	47443
54	2710	46568
55	2712	45726
56	2714	44913
57	2717	44128
58	2719	43368
59	2721	42634
60	2723	41925
61	2725	41238
62	2727	40572
63	2730	39932
64	2733	39314
65	2735	38710
66	2737	38122
67	2739	37551
68	2741	36996
69	2744	36457
70	2746	35936
71	2748	35427
72	2750	34932
73	2753	34450
74	2755	33981
75	2757	33524
76	2759	33078
77	2761	32645
78	2763	32222
79	2766	31809
80	2768	31407
81	2770	31014
82	2772	30631
83	2774	30257
84	2776	29892
85	2779	29535
86	2781	29186
87	2783	28845
88	2785	28512
89	2787	28186
90	2789	27867
91	2792	27555
92	2794	27250
93	2796	26951
94	2798	26658
95	2800	26372
96	2803	26099
97	2806	25827
98	2808	25561
99	2811	25300
100	2813	25043
101	2815	24790
102	2818	24546
103	2821	24307
104	2824	24072
105	2827	23843
106	2829	23615
107	2832	23391
108	2834	23171
109	2837	22954
110	2839	22741
111	2842	22538
112	2847	22350
113	2850	22152
114	2854	21963
115	2857	21774
116	2861	21595
117	2866	21423
118	2869	21241
119	2872	21064
120	2877	20901
121	2881	20740
122	2898	20669
123	2902	20502
124	2907	20354
125	2912	20199
126	2914	20031
127	2917	19872
128	2919	19711
129	2924	19572
130	2927	19417
131	2930	19267
132	2932	19114
133	2934	18962
134	2939	18834
135	2943	18700
136	2946	18557
137	2948	18415
138	2952	18289
139	2954	18151
140	2957	18015
141	2959	17879
142	2961	17747
143	2963	17616
144	2965	17488
145	2968	17361
146	2970	17234
147	2972	17110
148	2974	16987
149	2976	16867
150	2978	16746
151	2981	16633
152	2983	16515
153	2985	16400
154	2987	16285
155	2989	16172
156	2991	16065
157	2994	15956
158	2996	15848
159	2998	15742
160	3000	15637
161	3002	15533
162	3005	15434
163	3007	15332
164	3010	15234
165	3012	15136
166	3015	15038
167	3017	14942
168	3020	14852
169	3022	14756
170	3024	14661
171	3026	14567
172	3027	14474
173	3029	14383
174	3031	14293
175	3035	14209
176	3037	14125
177	3041	14043
178	3044	13963
179	3047	13881
180	3051	13808
181	3056	13739
182	3060	13662
183	3064	13590
184	3067	13511
185	3071	13441
186	3076	13374
187	3080	13303
188	3083	13229
189	3085	13153
190	3087	13077
191	3089	13003
192	3091	12928
193	3093	12854
194	3096	12784
195	3103	12730
196	3107	12664
197	3112	12607
198	3117	12547
199	3121	12487
200	3129	12439
201	3132	12374
202	3135	12309
203	3139	12251
204	3142	12186
205	3146	12127
206	3149	12065
207	3155	12014
208	3163	11972
209	3167	11916
210	3181	11896
211	3194	11874
212	3204	11840
213	3204	11840
214	3204	11840
215	3207	11750
216	3210	11693
217	3213	11633
218	3216	11575
219	3218	11516
220	3221	11458
221	3223	11400
222	3226	11342
223	3228	11286
224	3231	11230
225	3234	11174
226	3237	11123
227	3241	11071
228	3245	11024
229	3245	11024
230	3249	10959
231	3252	10908
232	3255	10856
233	3257	10803
234	3257	10803
235	3266	10756
236	3269	10707
237	3269	10707
238	3275	10650
239	3277	10599
240	3277	10599
241	3277	10599
242	3277	10599
243	3290	10539
244	3290	10539
245	3294	10480
246	3298	10435
247	3298	10435
248	3304	10384
249	3315	10360
250	3315	10360
251	3317	10296
252	3317	10296
253	3317	10296
254	3330	10253
255	3344	10240
256	3344	10240
257	3348	10182
258	3348	10182
259	3351	10122
260	3353	10074
261	3355	10026
262	3355	10026
263	3359	9971
264	3362	9924
265	3364	9878
266	3367	9833
267	3369	9787
268	3372	9744
269	3375	9701
270	3378	9659
271	3381	9615
272	3383	9571
273	3385	9527
274	3387	9483
275	3387	9483
276	3387	9483
277	3390	9415
278	3390	9415
279	3393	9361
280	3395	9319
281	3398	9277
282	3401	9238
283	3404	9197
284	3406	9157
285	3408	9115
286	3411	9075
287	3415	9039
288	3417	8999
289	3420	8962
290	3424	8925
291	3424	8925
292	3427	8875
293	3429	8836
294	3432	8798
295	3435	8762
296	3437	8725
297	3440	8688
298	3443	8650
299	3445	8614
300	3448	8579
301	3451	8542
302	3454	8506
303	3458	8474
304	3463	8446
305	3471	8424
306	3480	8405
307	3488	8382
308	3491	8349
309	3493	8312
310	3495	8276
311	3497	8240
312	3499	8206
313	3501	8171
314	3503	8136
315	3505	8100
316	3507	8065
317	3509	8030
318	3510	7996
319	3512	7962
320	3514	7928
321	3516	7894
322	3518	7860
323	3519	7827
324	3521	7793
325	3523	7760
326	3525	7728
327	3528	7698
328	3530	7667
329	3534	7638
